,time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
32584,2019-09-19T16:00,17.3,0.0,0.0,0.0,0.0,0.0,0.0,4.8,48.0
49372,2021-08-19T04:00,26.1,0.8,0.8,100.0,98.0,47.0,100.0,18.2,153.0
59263,2022-10-05T07:00,12.4,0.4,0.4,100.0,100.0,14.0,43.0,21.3,66.0
53414,2022-02-03T14:00,4.2,0.6,0.6,100.0,99.0,100.0,100.0,8.2,232.0
57646,2022-07-29T22:00,27.9,0.0,0.0,89.0,0.0,100.0,98.0,6.1,180.0
47967,2021-06-21T15:00,26.2,0.0,0.0,95.0,76.0,0.0,90.0,14.9,195.0
29650,2019-05-20T10:00,19.8,0.0,0.0,50.0,11.0,21.0,91.0,8.6,213.0
57321,2022-07-16T09:00,22.6,0.1,0.1,65.0,38.0,10.0,84.0,5.3,298.0
25623,2018-12-03T15:00,11.3,0.0,0.0,29.0,4.0,0.0,83.0,16.2,258.0
33514,2019-10-28T10:00,12.3,0.0,0.0,21.0,23.0,0.0,0.0,8.7,318.0
33848,2019-11-11T08:00,7.4,0.0,0.0,43.0,0.0,26.0,90.0,7.6,239.0
6749,2016-10-08T05:00,14.8,0.0,0.0,100.0,98.0,0.0,88.0,5.5,101.0
54044,2022-03-01T20:00,7.0,0.0,0.0,86.0,1.0,93.0,98.0,16.6,274.0
54085,2022-03-03T13:00,4.4,0.0,0.0,1.0,0.0,0.0,4.0,15.5,138.0
31785,2019-08-17T09:00,23.1,0.0,0.0,100.0,100.0,5.0,64.0,8.0,100.0
15224,2017-09-26T08:00,20.3,0.0,0.0,89.0,75.0,0.0,72.0,1.8,53.0
1076,2016-02-14T20:00,-9.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,309.0
40899,2020-08-31T03:00,19.5,0.0,0.0,0.0,0.0,0.0,0.0,8.6,15.0
44085,2021-01-10T21:00,4.6,0.0,0.0,0.0,0.0,0.0,0.0,5.8,330.0
27911,2019-03-08T23:00,2.4,0.0,0.0,85.0,2.0,90.0,98.0,6.5,177.0
4236,2016-06-25T12:00,19.7,0.0,0.0,20.0,5.0,25.0,2.0,7.4,61.0
56860,2022-06-27T04:00,24.3,0.0,0.0,55.0,14.0,21.0,98.0,18.1,253.0
39344,2020-06-27T08:00,22.1,0.0,0.0,29.0,0.0,0.0,95.0,7.1,246.0
43813,2020-12-30T13:00,-2.3,0.0,0.0,84.0,0.0,91.0,98.0,5.9,169.0
1673,2016-03-10T17:00,18.7,0.0,0.0,29.0,0.0,47.0,2.0,10.5,232.0
36466,2020-02-28T10:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,19.4,255.0
12063,2017-05-17T15:00,24.0,0.0,0.0,1.0,0.0,1.0,0.0,11.7,236.0
2675,2016-04-21T11:00,8.1,0.0,0.0,15.0,0.0,0.0,50.0,9.9,226.0
38632,2020-05-28T16:00,22.8,0.0,0.0,100.0,87.0,33.0,48.0,17.7,167.0
57482,2022-07-23T02:00,29.0,0.0,0.0,7.0,0.0,7.0,9.0,4.6,219.0
28426,2019-03-30T10:00,8.9,0.0,0.0,61.0,0.0,98.0,7.0,7.9,90.0
46597,2021-04-25T13:00,9.8,2.6,2.6,82.0,6.0,99.0,57.0,10.7,14.0
114,2016-01-05T18:00,-3.4,0.0,0.0,0.0,0.0,0.0,0.0,12.5,348.0
57582,2022-07-27T06:00,22.4,0.0,0.0,29.0,3.0,24.0,38.0,5.6,105.0
50405,2021-10-01T05:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,330.0
25771,2018-12-09T19:00,0.9,0.0,0.0,30.0,0.0,0.0,100.0,7.1,229.0
33097,2019-10-11T01:00,16.5,0.0,0.0,56.0,0.0,90.0,6.0,19.0,27.0
48670,2021-07-20T22:00,29.2,0.0,0.0,8.0,3.0,7.0,3.0,6.5,276.0
