,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1540063,06/02/2014,16:00,MANHATTAN,10033,40.8492939,-73.9389684,"(40.8492939, -73.9389684)",WEST 179 STREET                 ,FORT WASHINGTON AVENUE          ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,344842,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1347281,04/26/2015,16:00,STATEN ISLAND,10309.0,40.5253868,-74.239264,"(40.5253868, -74.239264)",ARTHUR KILL ROAD                ,NORTH BRIDGE STREET             ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3210346,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
597001,08/06/2018,8:55,MANHATTAN,10019.0,,,,WEST 50 STREET                  ,10 AVENUE,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3955909,Station Wagon/Sport Utility Vehicle,Sedan,,,
375426,08/01/2019,8:52,,,40.758026,-73.85776,"(40.758026, -73.85776)",NORTHERN BOULEVARD              ,,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4181129,Sedan,Station Wagon/Sport Utility Vehicle,,,
1857896,10/13/2012,22:45,MANHATTAN,10011,40.7336114,-73.9995562,"(40.7336114, -73.9995562)",AVENUE OF THE AMERICAS          ,GREENWICH AVENUE                ,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,9889,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1023734,09/25/2016,0:00,BROOKLYN,11220.0,40.637215,-74.018524,"(40.637215, -74.018524)",64 STREET                       ,5 AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3527241,Sedan,Station Wagon/Sport Utility Vehicle,,,
68618,07/22/2021,11:29,BRONX,10463.0,40.87717,-73.906075,"(40.87717, -73.906075)",,,5500      BROADWAY,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4443600,Sedan,Bus,,,
921922,03/07/2017,12:45,,,40.71976,-73.94476,"(40.71976, -73.94476)",BROOKLYN QUEENS EXPRESSWAY      ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3627681,Pick-up Truck,,,,
743763,12/22/2017,16:30,,,40.78614,-73.93929,"(40.78614, -73.93929)",FDR DRIVE                       ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3815217,Sedan,Sedan,,,
359764,09/12/2019,21:40,,,40.701275,-73.88887,"(40.701275, -73.88887)",MYRTLE AVENUE                   ,65 PLACE,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4204917,Station Wagon/Sport Utility Vehicle,,,,
1256536,09/17/2015,20:20,MANHATTAN,10002.0,40.7212488,-73.9922364,"(40.7212488, -73.9922364)",CHRYSTIE STREET                 ,RIVINGTON STREET                ,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3298731,TAXI,BICYCLE,,,
1105197,05/25/2016,18:35,,,,,,FLATBUSH AVENUE                 ,GRAND ARMY PLAZA,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,3450779,Station Wagon/Sport Utility Vehicle,trial,,,
1104922,05/20/2016,7:30,,,40.70921,-73.87017,"(40.70921, -73.87017)",80 STREET                       ,COOPER AVENUE,,1.0,0.0,0,0,0,0,1,0,Passing Too Closely,Oversized Vehicle,,,,3451442,4 dr sedan,Pick-up Truck,,,
1921636,07/01/2012,3:58,MANHATTAN,10002,40.7219864,-73.9855153,"(40.7219864, -73.9855153)",EAST HOUSTON STREET             ,NORFOLK STREET                  ,,0.0,0.0,0,0,0,0,0,0,Passenger Distraction,Passenger Distraction,,,,12176,PASSENGER VEHICLE,LIVERY VEHICLE,,,
1005850,10/20/2016,23:18,STATEN ISLAND,10312.0,40.554085,-74.19276,"(40.554085, -74.19276)",ARDEN AVENUE                    ,NEDRA LANE,,0.0,0.0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3544482,Sedan,Sedan,,,
1613829,01/31/2014,12:30,MANHATTAN,10128,40.781688,-73.9489603,"(40.781688, -73.9489603)",2 AVENUE                        ,EAST 92 STREET                  ,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,51920,SPORT UTILITY / STATION WAGON,TAXI,,,
393291,07/06/2019,14:50,BROOKLYN,11234.0,40.626305,-73.919945,"(40.626305, -73.919945)",AVENUE K                        ,EAST 58 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4165221,Sedan,,,,
1965951,09/04/2024,9:50,,,40.680313,-73.94332,"(40.680313, -73.94332)",TOMPKINS AVENUE,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,4753046,Sedan,Sedan,Sedan,,
2091897,09/12/2024,18:45,MANHATTAN,10035.0,40.788982,-73.93039,"(40.788982, -73.93039)",,,600       EAST 125 STREET,2.0,0.0,0,0,2,0,0,0,Unspecified,,,,,4755301,E-Bike,,,,
899077,04/29/2017,17:15,,,40.750965,-73.94027,"(40.750965, -73.94027)",QUEENS PLAZA NORTH              ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3659719,Station Wagon/Sport Utility Vehicle,Sedan,,,
1468660,10/06/2014,23:15,,,,,,FULTON STREET                   ,UTICA AVENUE                    ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,1034980,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
