,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1233775,11/16/2015,0:50,MANHATTAN,10025.0,40.7991318,-73.9666629,"(40.7991318, -73.9666629)",WEST 104 STREET                 ,AMSTERDAM AVENUE                ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3335294,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
380898,08/03/2019,9:30,QUEENS,11412.0,40.690697,-73.75473,"(40.690697, -73.75473)",196 STREET                      ,119 AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4182718,Sedan,Sedan,,,
1035244,10/02/2016,16:15,QUEENS,11432.0,40.70805,-73.79892,"(40.70805, -73.79892)",,,88-38     163 STREET                    ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3532263,Sedan,,,,
1853551,11/12/2012,13:06,BROOKLYN,11201,40.7030999,-73.9866483,"(40.7030999, -73.9866483)",JAY STREET                      ,WATER STREET                    ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,188547,PICK-UP TRUCK,VAN,,,
1022478,10/07/2016,16:30,BROOKLYN,11215.0,40.67192,-73.99397,"(40.67192, -73.99397)",,,118       2 AVENUE                      ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3536891,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
1443602,11/01/2014,23:30,,,,,,NORTH GANNON AVENUE             ,WOOLLEY AVENUE                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,2817630,PASSENGER VEHICLE,,,,
315863,11/15/2019,18:07,MANHATTAN,10001.0,40.7491,-73.99201,"(40.7491, -73.99201)",WEST 31 STREET                  ,7 AVENUE,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4242236,LIMO,,,,
2057366,12/12/2023,12:00,,,40.815304,-73.94371,"(40.815304, -73.94371)",WEST 135 STREET,,,1.0,0.0,1,0,0,0,0,0,View Obstructed/Limited,,,,,4687304,Pick-up Truck,,,,
1014446,10/20/2016,4:00,QUEENS,11106.0,40.75967,-73.92725,"(40.75967, -73.92725)",31 STREET                       ,34 AVENUE,,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3543589,Taxi,Taxi,,,
1606150,01/23/2014,7:30,,,,,,BELKNAP STREET                  ,137 AVENUE                      ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,272148,PASSENGER VEHICLE,UNKNOWN,,,
984120,12/22/2016,19:00,MANHATTAN,10014.0,40.737568,-74.00975,"(40.737568, -74.00975)",WEST STREET                     ,WEST 12 STREET,,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3586776,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1804431,02/10/2013,17:00,BROOKLYN,11221,40.699628,-73.9238321,"(40.699628, -73.9238321)",DE KALB AVENUE                  ,WILSON AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,185554,OTHER,OTHER,,,
1621547,12/14/2013,19:44,MANHATTAN,10022,40.7583082,-73.9629257,"(40.7583082, -73.9629257)",EAST 57 STREET                  ,1 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,36971,PASSENGER VEHICLE,TAXI,,,
539760,11/07/2018,16:40,,,40.589935,-74.145676,"(40.589935, -74.145676)",FOREST HILL ROAD                ,ASHWORTH AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4016348,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
1510782,07/02/2014,12:30,QUEENS,11101,40.7489156,-73.9373965,"(40.7489156, -73.9373965)",QUEENS BOULEVARD                ,JACKSON AVENUE                  ,,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,,,,361166,PASSENGER VEHICLE,PICK-UP TRUCK,,,
901394,05/15/2017,9:00,,,40.755516,-73.961105,"(40.755516, -73.961105)",FDR DRIVE                       ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3670473,Sedan,Sedan,,,
1376447,03/05/2015,17:30,MANHATTAN,10016,40.7439442,-73.9836267,"(40.7439442, -73.9836267)",EAST 29 STREET                  ,PARK AVENUE SOUTH               ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3180149,TAXI,VAN,,,
400628,06/29/2019,10:50,,,40.79395,-73.97417,"(40.79395, -73.97417)",WEST 94 STREET                  ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Backing Unsafely,,,,4165563,Taxi,Sedan,,,
1966125,09/05/2023,16:45,,,40.69832,-73.962265,"(40.69832, -73.962265)",BROOKLYN QUEENS EXPRESSWAY,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4660387,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
703129,02/27/2018,14:00,,,40.671185,-73.94204,"(40.671185, -73.94204)",SAINT JOHNS PLACE               ,,,1.0,0.0,1,0,0,0,0,0,Backing Unsafely,,,,,3855589,Sedan,,,,
1232212,11/06/2015,20:59,,,,,,EAST TREMONT AVENUE             ,EAST 176 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3329986,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
123763,05/02/2022,16:49,MANHATTAN,10011.0,40.746155,-74.001564,"(40.746155, -74.001564)",,,204       9 AVENUE,1.0,0.0,0,0,0,0,1,0,Passing Too Closely,Unsafe Lane Changing,,,,4526412,Motorscooter,Box Truck,,,
201946,10/24/2020,4:05,,,40.84125,-73.9094,"(40.84125, -73.9094)",MORRIS AVENUE                   ,,,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4361924,Station Wagon/Sport Utility Vehicle,,,,
